region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1102812,3,359,15,377
1102813,12,335,37,384
1102814,9,379,21,409
1102815,15,298,6,319
1102816,9,263,13,285
1102817,15,330,26,371
1102818,9,377,15,401
1102901,0,276,9,285
1102902,0,254,10,264
1102903,15,371,25,411
1102904,30,450,0,480
1102905,18,356,11,385
1102906,3,174,18,195
1102907,8,266,14,288
1102908,24,349,18,391
1102909,26,322,7,355
1102910,15,468,23,506
1102911,15,412,28,455
1102912,6,416,42,464
1102913,6,270,40,316
1102914,11,275,18,304
1102915,9,485,24,518
1102916,9,345,6,360
1102917,12,224,9,245
1102918,12,363,21,396
1102919,21,255,9,285
1102920,0,9,0,9
1102921,0,0,0,0
1102922,12,475,8,495
1102923,8,379,17,404
1102924,4,489,24,517
1102925,22,449,27,498
1102926,12,268,21,301
1102927,24,481,27,532
1102928,63,590,27,680
1103001,21,390,13,424
1103002,21,505,32,558
1103003,9,195,18,222
1103004,12,296,21,329
1103005,9,254,24,287
1103006,12,312,19,343
1103007,4,343,28,375
1103008,4,178,21,203
1103009,14,342,27,383
1103010,12,330,18,360
1103011,26,420,71,517
1103012,15,397,13,425
1103101,6,304,3,313
1103102,117,192,6,315
1103103,42,275,11,328
1103104,49,347,18,414
1103105,29,477,14,520
1103106,18,212,9,239
1103107,0,17,0,17
1103108,6,236,6,248
1103109,6,244,3,253
1103110,24,423,9,456
1103111,12,304,14,330
1103112,6,154,3,163
1103113,9,447,21,477
1103114,9,427,21,457
1103115,16,493,22,531
1103116,22,428,22,472
1103117,13,324,4,341
1103118,12,317,12,341
1103119,17,394,11,422
1103120,12,367,15,394
1103121,14,236,6,256
1103122,12,376,6,394
1103123,36,343,27,406
1103124,24,288,9,321
1103125,9,221,9,239
1103126,53,300,16,369
1103127,9,300,7,316
1103128,237,144,18,399
1103129,20,522,23,565
1103130,10,297,0,307
1103131,112,463,29,604
1103132,0,16,0,16
1103133,10,359,6,375
1103134,29,380,20,429
1103135,14,377,30,421
1103136,19,357,20,396
1103137,170,80,18,268
1103138,18,452,28,498
1103201,13,365,0,378
1103202,38,388,47,473
1103203,10,696,37,743
1103204,21,403,62,486
1103205,19,206,24,249
1103206,0,33,18,51
1103207,3,195,25,223
1103208,23,398,25,446
1103209,7,753,22,782
1103210,3,157,27,187
1103211,8,520,19,547
1103212,27,415,41,483
1103213,0,5,0,5
1103214,21,597,20,638
1103215,14,157,17,188
1103216,7,269,25,301
1103217,4,158,30,192
1103218,12,508,49,569
